gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
C7H2orf66	-1.6542050893184188	3.076898324050109	-0.5376209790192207	0.590838743707149	103814527	NA	NA	C7H2orf66	chromosome 7 C2orf66 homolog	C7H2orf66	C7H2orf66	0.6556576757766841	C7H2orf66	0.08649504844160458	3.2280450910922345	2.008026772566692	0.1595223491693172	0.3627130314972066
C7H2orf69	4.030641370224431	2.6434450643302676	1.5247683504425757	0.12731688665988994	103814517	NA	NA	C7H2orf69	chromosome 7 C2orf69 homolog	C7H2orf69	C7H2orf69	0.17998461450920633	C7H2orf69	-0.016842495041735007	2.8575145643661113	0.0542419208212362	0.8163076643344922	0.9035880819814561
C7H2orf76	-0.07753314136710181	1.0080686628350708	-0.07691255985385882	0.9386931058273544	103814291	chromosome unknown C2orf76 homolog	C2orf76	C7H2orf76	chromosome 7 C2orf76 homolog	C7H2orf76	C7H2orf76	0.9529690739783788	C7H2orf76	-0.04531455726582883	2.5618754820536327	0.5123537558074067	0.47576136417137427	0.6719890680168731
C7H2orf88	-12.31741731251086	12.197318037174417	-1.0098463674531082	0.3125689014436803	127059042	NA	NA	C7H2orf88	chromosome 7 C2orf88 homolog	C7H2orf88	C7H2orf88	0.38029004001933525	C7H2orf88	0.002972649436174711	-1.0876620902418164	1.9225591709529888e-4	0.9889610603002366	0.9958826580989056
C8H1orf112	-1.9875583750194288	2.474421267605144	-0.803241711926877	0.4218350406470172	NA	NA	NA	NA	NA	NA	NA	0.49312962312116504	C8H1orf112	0.11186552881346412	2.392095501491109	2.3415689703918563	0.12906686368053125	0.3211663817166708
C8H1orf21	-1.836522364034537	2.1642509171943654	-0.8485718312252442	0.39611958678563175	103814813	chromosome unknown C1orf21 homolog	C1orf21	C8H1orf21	chromosome 8 C1orf21 homolog	C8H1orf21	C8H1orf21	0.4673333361673195	C8H1orf21	0.31015478040955585	0.32283772928480864	6.6634521441938475	0.011298054586552059	0.07902714791532416
C8H1orf52	0.014323279495720955	1.0457034710122186	0.013697266856976507	0.9890715039758712	103814914	NA	NA	C8H1orf52	chromosome 8 C1orf52 homolog	C8H1orf52	C8H1orf52	0.9916689190650957	C8H1orf52	-0.1363456804237742	4.401577599508041	5.116940030911231	0.02581826375731323	0.12410838409388272
C9H2orf72	5.518273592652777	8.732646257978201	0.6319131028136228	0.5274436609491784	108961899	NA	NA	C9H2orf72	chromosome 9 C2orf72 homolog	C9H2orf72	C9H2orf72	0.5962706639445435	C9H2orf72	-0.17972567562538386	-1.1330022980446017	0.799212743497027	0.373150593342779	0.594275442708487
C9H3orf33	3.649888599822416	2.560753424754964	1.425318253814957	0.1540652259379564	103815573	NA	NA	C9H3orf33	chromosome 9 C3orf33 homolog	C9H3orf33	C9H3orf33	0.20737824902418156	C9H3orf33	0.08733793653616631	0.06649176848243334	0.3614317420601523	0.5490856578512149	0.7273602220886223
C9H3orf70	-2.4297727594439125	8.239411086711456	-0.2948964111479589	0.768073013590358	103815477	chromosome unknown C3orf70 homolog	C3orf70	C9H3orf70	chromosome 9 C3orf70 homolog	C9H3orf70	C9H3orf70	0.8127266944320275	C9H3orf70	0.3014845757993592	-0.9440342590431223	3.036950741983097	0.08418326185895568	0.25116897756387163
CABCOCO1	-5.234763859606656	2.9747634621413437	-1.7597244037139281	0.07845454600957254	108961647	NA	NA	CABCOCO1	ciliary associated calcium binding coiled-coil 1	CABCOCO1	CABCOCO1	0.1579754812587004	CABCOCO1	0.4495000890023591	-0.16426106391159645	10.36581606322804	0.0017332842476396133	0.03137158255180554
CASTOR1	0.3298682055384888	1.0456065461356843	0.3154802413561813	0.75239705079788	103818215	NA	NA	CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1	CASTOR1	CASTOR1	0.7989458544645254	CASTOR1	-0.12780452518570987	2.7073590844257818	1.3557152079623997	0.24700421292494368	0.46802152428174226
CAVIN2	8.0446973143672	10.181576727769588	0.7901229376807436	0.4294559752789622	103814534	caveolae associated protein 2	NA	CAVIN2	caveolae associated protein 2	CAVIN2	CAVIN2	0.5006009377488493	CAVIN2	0.4487615326723199	-1.0947234731403184	5.097186062394999	0.0258109425492234	0.12410838409388272
CENATAC	3.016470859095746	1.9785879515811586	1.5245573777426367	0.1273695352240172	103822822	NA	NA	CENATAC	centrosomal AT-AC splicing factor	CENATAC	CENATAC	0.18002803786247873	CENATAC	0.016627555779764346	1.414610374171474	0.05446026676064957	0.8159468367554235	0.9035880819814561
CFAP251	0.4044898990422699	1.1417628910825792	0.3542678626196608	0.7231381498758447	103818317	NA	NA	CFAP251	cilia and flagella associated protein 251	CFAP251	CFAP251	0.7742235126290009	CFAP251	-0.33809539948849504	1.9449317762514076	2.1300513101425675	0.1475247868902154	0.34543778676674763
CGAS	-0.8801540869120608	2.877819063749296	-0.30584066177022734	0.7597259672955468	103822607	NA	NA	CGAS	cyclic GMP-AMP synthase	CGAS	CGAS	0.8054778136259481	CGAS	0.476017977037071	0.3947646664966411	6.8533378473279	0.01022029387726485	0.0753168719625041
CIAO2A	1.4121679250294523	1.0257521714452447	1.376714536260511	0.16860052272985346	103816266	NA	NA	CIAO2A	cytosolic iron-sulfur assembly component 2A	CIAO2A	CIAO2A	0.22324593956172153	CIAO2A	-0.09165082680388167	6.929501045740899	1.933345977021472	0.16742458800760757	0.3734461380574349
CIAO2B	1.2675792273514974	0.748110977580856	1.6943732485391811	0.09019437960037052	103821191	NA	NA	CIAO2B	cytosolic iron-sulfur assembly component 2B	CIAO2B	CIAO2B	0.1579754812587004	CIAO2B	0.01673323619255088	3.5578552451974397	0.05411305361385892	0.8165219078390499	0.9036219937289993
CPLANE1	0.33924740720401725	3.115792184235487	0.10887998529570013	0.9132976816744529	103821068	NA	NA	CPLANE1	ciliogenesis and planar polarity effector complex subunit 1	CPLANE1	CPLANE1	0.9321484637892131	CPLANE1	-0.2172774886425613	3.7046097017701314	6.244969665558964	0.014053883699343963	0.08904294286549894
CUNH20orf27	0.22657029955544855	1.9077974106351048	0.11876014627780809	0.9054653838248603	NA	NA	NA	NA	NA	NA	NA	0.9262563607971295	CUNH20orf27	0.005939911405642232	-1.1865432673336458	0.0016649470797587232	0.967519654465383	0.9853046103233358
CYP2J19	0.07490132494423143	0.27523206806373723	0.27213880079877195	0.7855152962513361	103815209	cytochrome P450 2J19	NA	CYP2J19	cytochrome P450 2J19	CYP2J19	CYP2J19	0.8274763141941149	CYP2J19	-0.05730744281931673	4.694195574916876	0.019262773260750942	0.8898899369546036	0.944037594471476
CZH18orf25	-1.4388153823246426	2.020678528782146	-0.7120456627961551	0.4764365002789979	NA	NA	NA	NA	NA	NA	NA	0.5469870757536139	CZH18orf25	-0.06287976386441298	3.7287778330436723	1.6129035318970393	0.20697935662580244	0.4194935372727963
CZH18orf32	-0.2798854636533393	1.2536345906280715	-0.22325920626768644	0.8233337746453215	103820637	chromosome unknown C18orf32 homolog	NA	CZH18orf32	chromosome Z C18orf32 homolog	CZH18orf32	CZH18orf32	0.85888295970467	CZH18orf32	0.018394650293774566	4.433846993346946	0.0920499162185057	0.7622062170872576	0.8730813028222427
CZH5orf34	5.594795024154745	5.710196901937553	0.9797902104315089	0.3271896854136518	103824188	chromosome unknown C5orf34 homolog	C5orf34	CZH5orf34	chromosome Z C5orf34 homolog	CZH5orf34	CZH5orf34	0.39595113264307247	CZH5orf34	0.32115146259714944	-0.7398460122985918	2.615086708859698	0.10884882660022034	0.2913848647325987
CZH9orf64	2.0137035103930465	2.8092066879073267	0.7168228379425946	0.4734834181009928	NA	NA	NA	NA	NA	NA	NA	0.5440924841608511	CZH9orf64	0.11938080419802459	0.3301906976974062	1.2060544280037884	0.27476338192003946	0.4962382178181881
CZH9orf85	1.484179721258238	0.6715314078346674	2.2101419292418956	0.02709531368161173	103822876	NA	NA	CZH9orf85	chromosome Z C9orf85 homolog	CZH9orf85	CZH9orf85	0.07345174450314065	CZH9orf85	-0.17824524847842263	6.534887409336108	3.1634355286412137	0.078289033093092	0.24021549259994548
DDH36_mgp01	1.3987393788956055	0.5112809660190479	2.7357548429516445	0.006223737410192801	NA	NA	NA	NA	NA	NA	NA	0.02383926669695175	DDH36_mgp01	-0.3799461970337826	5.723276475900742	13.814379496303186	3.300855799264337e-4	0.013024918076675954
DDH36_mgp02	0.3610023918170307	0.5037009587143746	0.7166998306662712	0.4735593304029656	NA	NA	NA	NA	NA	NA	NA	0.544160672445264	DDH36_mgp02	0.052360534451993165	7.163572780643212	0.2781305728712093	0.599076389236513	0.7646129902081321
DDH36_mgp03	1.1889199302461637	0.5967670568569667	1.992268032535054	0.0463416571968374	NA	NA	NA	NA	NA	NA	NA	0.11360175992242491	DDH36_mgp03	-0.14072070738161357	7.245518021988722	2.049759075867228	0.15529273811996533	0.3567385695308991
DDH36_mgp04	1.274243357772255	0.5714758839516983	2.229741260402784	0.025764624996795955	NA	NA	NA	NA	NA	NA	NA	0.0704493418674882	DDH36_mgp04	-0.23440848521817897	6.881913477044134	4.605476239098179	0.034246064641535366	0.14637433769043473
DDH36_mgp05	0.8748028630716985	0.5712099564310842	1.5314909224227475	0.12564810822087424	NA	NA	NA	NA	NA	NA	NA	0.178270243942796	DDH36_mgp05	-0.18535397979631676	2.488977412793159	2.907385916063245	0.09122670622451014	0.2638612094442127
DDH36_mgp06	1.4926780741287866	0.5410537384727497	2.75883515441963	0.005800778819439762	NA	NA	NA	NA	NA	NA	NA	0.02340888582419045	DDH36_mgp06	-0.29343479209425855	4.747223245291274	7.392811812454588	0.007699888203685331	0.06493716617100417
DDH36_mgp07	1.4498214988781417	0.597016448823007	2.428444813767534	0.015163732655820302	NA	NA	NA	NA	NA	NA	NA	0.04469156898032437	DDH36_mgp07	-0.21038376494104505	7.836470760210801	4.745282327367882	0.03168618942197599	0.1405345029885148
DDH36_mgp08	1.572982941011489	0.5891902847594417	2.669736724619817	0.007591074216217634	NA	NA	NA	NA	NA	NA	NA	0.02637516728204125	DDH36_mgp08	-0.14869650927964165	7.781378854587424	2.7827585181362875	0.09835643953171741	0.27447255971597134
DDH36_mgp09	0.0017919906239012712	0.08643084258936977	0.020733230988097186	0.9834584602175083	NA	NA	NA	NA	NA	NA	NA	0.9873985028847713	DDH36_mgp09	-0.25375358018419863	0.5549101182547252	2.626192683499448	0.10826054647593145	0.2905940984353949
DDH36_mgp10	1.252479573878054	0.5496153048133456	2.2788295065826225	0.022677202169167722	NA	NA	NA	NA	NA	NA	NA	0.06313237714282287	DDH36_mgp10	-0.22201004356918125	7.452048881341598	4.791769019911103	0.030880626863671514	0.13846802037391573
DDH36_mgp11	1.6841764633140177	0.582745043696537	2.8900742812512847	0.0038515080636319014	NA	NA	NA	NA	NA	NA	NA	0.023293306884048678	DDH36_mgp11	-0.2620379896664223	10.178700376750752	8.021043832746392	0.005573714752072016	0.05480317369739998
DDH36_mgp12	0.9350779854294937	0.5249580033534909	1.7812434127227517	0.07487269437902437	NA	NA	NA	NA	NA	NA	NA	0.15671384249639106	DDH36_mgp12	-0.18228592184199569	6.443304589268432	2.6781442909972406	0.10482155144306138	0.28458268966407263
DDH36_mgp13	1.3315044469355373	0.5141848349871032	2.5895443745806586	0.009610303583738662	NA	NA	NA	NA	NA	NA	NA	0.03090892966391834	DDH36_mgp13	-0.27171165154350935	7.740488481028068	5.7047179959061545	0.01876189238038969	0.1032278638151202
DDH36_mgr01	0.7038104428885331	0.5045634905780018	1.3948897532841396	0.1630490875347833	NA	NA	NA	NA	NA	NA	NA	0.21700663721593333	DDH36_mgr01	-0.5697733289074511	8.747985944533738	17.211448146694572	6.945974905428737e-5	0.00600800072551577
DDH36_mgr02	0.6306903849785509	0.47747143533007097	1.3208965779126898	0.18653585096260478	NA	NA	NA	NA	NA	NA	NA	0.24296723780173615	DDH36_mgr02	-0.3721280030265982	10.200720892830773	10.015148003480194	0.0020477128643908013	0.033964647723345294
DELE1	0.5258043383001902	1.3020759853279538	0.40382001067914325	0.686345080372498	103817412	NA	NA	DELE1	DAP3 binding cell death enhancer 1	DELE1	DELE1	0.742568023228898	DELE1	0.07761297806819885	1.4950090266701945	0.4538765162206266	0.5020321024772612	0.6924274442609413
DENND10	-4.130928592452842	1.9904863599547256	-2.07533629747998	0.03795537763356272	103813794	DENN domain containing 10	NA	DENND10	DENN domain containing 10	DENND10	DENND10	0.09716410956029928	DENND10	0.20697266629182762	2.8540381960605927	10.041166295193333	0.0020218867840602435	0.03389688534751689
DENND11	-3.0526762832012553	3.000172734044164	-1.0175001754270054	0.30891554885925776	103819700	NA	NA	DENND11	DENN domain containing 11	DENND11	DENND11	0.37650085862081917	DENND11	0.17467404629215966	2.708677882459721	5.236469455369989	0.0241858861053556	0.11944106830490997
DNAI3	-0.34405245060846756	0.8498571147965065	-0.4048356419194643	0.6855983279316957	103815157	NA	NA	DNAI3	dynein axonemal intermediate chain 3	DNAI3	DNAI3	0.7419029128631182	DNAI3	0.11005512793097114	1.7839178683073524	0.16842410627853885	0.682380915817927	0.8227469415860423
DOP1B	5.159136541732239	2.36310090142137	2.1832062010678825	0.029020628312926497	103815865	NA	NA	DOP1B	DOP1 leucine zipper like protein B	DOP1B	DOP1B	0.07795130849887108	DOP1B	-0.4905231362431976	4.072402029373689	9.980972723402916	0.0020826676600181593	0.03425112390365491
DYNC2I1	-10.822247243515383	7.463825685966421	-1.4499598059830776	0.14706972809501898	103813072	NA	NA	DYNC2I1	dynein 2 intermediate chain 1	DYNC2I1	DYNC2I1	0.20002019104762875	DYNC2I1	0.2974069885141484	-0.6170251347853544	3.8226485530474568	0.05327739653631443	0.19020919391473198
ELAPOR1	34.574995999747316	19.583708514123327	1.7654978869202742	0.07748012505553523	103822382	NA	NA	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	ELAPOR1	ELAPOR1	0.1579754812587004	ELAPOR1	-0.5193763018926789	-1.1721803205901333	10.048874203605703	0.0019285243334961853	0.03298503083188974
ELOA	-1.4521400433675025	1.400291610349323	-1.037026882568585	0.2997233288805081	103823505	elongin A	NA	ELOA	elongin A	ELOA	ELOA	0.3668635892064344	ELOA	-0.03787692977625515	6.873606312098931	0.7748241069519449	0.3808016715463195	0.5999577801383219
ENTR1	2.238162654542296	1.2268998094159853	1.8242424013478984	0.06811543392990424	103819124	NA	NA	ENTR1	endosome associated trafficking regulator 1	ENTR1	ENTR1	0.1488223421383069	ENTR1	-0.10383183594703525	3.7775154452246618	2.998919028683005	0.08634919195421746	0.25563487930085554
ENTREP1	2.2729364658355964	1.668201666792921	1.3625070104415278	0.1730379332481991	103822872	NA	NA	ENTREP1	endosomal transmembrane epsin interactor 1	ENTREP1	ENTREP1	0.22817379519162123	ENTREP1	-0.25671478694561406	1.8782794879170945	3.2795881080212728	0.07310152439127	0.2301158954680273
ENTREP3	4.734371223443466	2.625112355489054	1.8034927966203034	0.07131085571486671	103824034	NA	NA	ENTREP3	endosomal transmembrane epsin interactor 3	ENTREP3	ENTREP3	0.15290411000730972	ENTREP3	-0.18123054875024425	1.2150084282977365	2.0053036575108143	0.15982216483520803	0.3630416741212769
FBH1	-0.823792524768314	0.5444473054459253	-1.5130803597119342	0.13025924780815717	103822506	NA	NA	FBH1	F-box DNA helicase 1	FBH1	FBH1	0.18281628883816672	FBH1	0.20068567683909908	3.9113069616701766	1.9033329555234546	0.17072853542589497	0.37780053504076894
FBXL21P	0.08693201519528868	1.6471318649801585	0.05277781156661423	0.9579089406605676	103817266	F-box and leucine rich repeat protein 21, pseudogene	NA	FBXL21P	F-box and leucine rich repeat protein 21	FBXL21P	FBXL21P	0.9676639743300336	FBXL21P	0.10014974362234612	3.1033079137424506	1.5689070689894604	0.21323618273337253	0.4279624307377764
FCSK	8.543618218789115	4.606321335177964	1.8547594918188735	0.06363057902661787	103816829	NA	NA	FCSK	fucose kinase	FCSK	FCSK	0.14273879000221323	FCSK	-0.041446059184934964	1.2172148153005304	0.20809507690760132	0.6492418933747556	0.8014733654894336
FHIP1B	-0.6298468040534381	0.7378263189276857	-0.8536518526051241	0.39329791896045085	103824414	NA	NA	FHIP1B	FHF complex subunit HOOK interacting protein 1B	FHIP1B	FHIP1B	0.46448255057720467	FHIP1B	-0.024264999705729966	6.929875387311176	0.10260364968616456	0.7493836569353167	0.8659368164946583
FYB1	-0.14178872479463808	0.6751081184775342	-0.21002372940558325	0.8336491526656855	103821073	NA	NA	FYB1	FYN binding protein 1	FYB1	FYB1	0.8672740495746369	FYB1	0.27750786490009366	5.374771756121416	8.43876549444225	0.004505854935132534	0.04917690076203648
GATD1	4.822475698360451	2.073700120369406	2.3255415047675174	0.02004302327338668	103822287	NA	NA	GATD1	glutamine amidotransferase class 1 domain containing 1	GATD1	GATD1	0.05677127554851435	GATD1	-0.14652890633731028	1.9313751760131517	2.7873992735258417	0.09808615534125355	0.27439572173164034
GCNA	-0.48284753689568977	2.8273754972208756	-0.1707758793871904	0.8643999958944488	103824252	germ cell nuclear acidic peptidase	NA	GCNA	germ cell nuclear acidic peptidase	GCNA	GCNA	0.8922260127380803	GCNA	-0.15000011861219106	1.3182617893607937	3.5817616519263384	0.06127216908194828	0.20677208247269596
GOLM2	-0.6026255194376577	0.9278648642968687	-0.6494755245359186	0.5160310615061529	103816125	NA	NA	GOLM2	golgi membrane protein 2	GOLM2	GOLM2	0.5850407055520535	GOLM2	-0.004346333589171568	5.91736085399542	0.00460550555995537	0.946027082081319	0.9749803071528692
GUCY1B1	-2.520025378076018	0.7839133447968895	-3.2146734008322717	0.0013059301332878747	103825956	NA	NA	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	GUCY1B1	GUCY1B1	0.023293306884048678	GUCY1B1	0.1050311972706381	6.299391541366305	1.4406544226690157	0.23281857612080575	0.4511725877622867
HAPSTR1	-0.6481146157932841	1.4635353039509285	-0.4428418050754552	0.6578801628607152	103817910	NA	NA	HAPSTR1	HUWE1 associated protein modifying stress responses	HAPSTR1	HAPSTR1	0.7172638653767799	HAPSTR1	-0.011693081423468355	10.087686234229023	0.06368322031654877	0.8012751218048572	0.8952805688630676
HASPIN	-3.652679143608431	4.6088713700629516	-0.7925322384422587	0.4280504017205858	103820313	NA	NA	HASPIN	histone H3 associated protein kinase	HASPIN	HASPIN	0.4992510662255831	HASPIN	0.10706040107961454	0.6785757750783581	0.827835735035871	0.3650793101230909	0.5865561004980736
HDGFL3	-0.3821745257038521	0.8215959098741317	-0.4651611833880735	0.6418160338481447	103816199	NA	NA	HDGFL3	HDGF like 3	HDGFL3	HDGFL3	0.7025633490705111	HDGFL3	0.30789643223562013	2.6074034843052942	5.838186114705796	0.017464218918167365	0.09908687440352046
HDHD5	-4.57803370419206	3.705345329671183	-1.235521468817677	0.21663649144530847	103820524	NA	NA	HDHD5	haloacid dehalogenase like hydrolase domain containing 5	HDHD5	HDHD5	0.27611670975953023	HDHD5	0.5186749859200513	0.8385213920122476	11.887654248074712	8.264694851552744e-4	0.022093703496426986
HROB	-1.7015421818617757	0.5810576700399717	-2.9283533624893456	0.003407625265543569	103825368	NA	NA	HROB	homologous recombination factor with OB-fold	HROB	HROB	0.023293306884048678	HROB	0.15194318043163876	6.822345579633154	1.6100785716529118	0.20737379474423587	0.4197460375382518
ILRUN	-2.2599155558695063	1.815039769466346	-1.2451052554809647	0.21309306255644592	103823296	NA	NA	ILRUN	inflammation and lipid regulator with UBA-like and NBR1-like domains	ILRUN	ILRUN	0.2722238586871973	ILRUN	-0.03600416415277404	9.414472988955236	0.6322005152335096	0.4283988309382428	0.6365464600922814
INKA2	0.04219312299792301	3.765705236482122	0.011204574003603992	0.9910602304460139	103823323	NA	NA	INKA2	inka box actin regulator 2	INKA2	INKA2	0.9931473098264739	INKA2	0.9807606806391483	-1.3481152217315577	17.191847402549644	5.7699459744968384e-5	0.005523964067163026
INTS15	-0.019170562715884354	1.1448363074709023	-0.016745243482218616	0.9866398531328469	103817924	NA	NA	INTS15	integrator complex subunit 15	INTS15	INTS15	0.9897605253700404	INTS15	-0.011151836666122092	3.4272392784079257	0.03014638780221011	0.8625033067796312	0.9288889964666366
